,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,v_3sun,1,"B6,B11,B15,B23,C2,C9",6,6,"['B6', 'B11', 'B15', 'B23', 'C2', 'C9']"
1,v_3sun,2,"B5,B6,B7,B8,C12",10,4,"['B5', 'B7', 'B8', 'C12']"
2,v_3sun,3,"B6,B11,B17,B24,C2,C6",13,3,"['B17', 'B24', 'C6']"
3,v_3sun,4,"A9,B8,B23,C6,C9,C16",15,2,"['A9', 'C16']"
4,v_3sun,5,"A9,B8,C2,C9,C12,C16",15,0,[]
5,v_3sun,6,B8,15,0,[]
6,v_3sun,7,"A20,C9,C16",16,1,['A20']
7,v_3sun,8,"A15,B7,B8,B14",18,2,"['A15', 'B14']"
8,v_3sun,9,"B8,B11,B17",18,0,[]
9,v_3sun,10,"A1,B8,C9",19,1,['A1']
10,v_3sun,11,"A1,B8,B13,C2",20,1,['B13']
11,v_3sun,12,"B6,B8,B12,C9,C12",21,1,['B12']
12,n_3sun,1,"A1,A2,A9,C14",4,4,"['A1', 'A2', 'A9', 'C14']"
13,n_3sun,2,"A2,B5,B17,C7,C8",8,4,"['B5', 'B17', 'C7', 'C8']"
14,n_3sun,3,"A25,B21,C2,C7,C8,C14",11,3,"['A25', 'B21', 'C2']"
15,n_3sun,4,"A11,A20,B5,B14,B17,C14",14,3,"['A11', 'A20', 'B14']"
16,n_3sun,5,"A3,A5,A6,A7,B4,B17,B23,C2",20,6,"['A3', 'A5', 'A6', 'A7', 'B4', 'B23']"
17,n_3sun,6,"A2,A16,A20,B21,C3,C7,C9,C14",23,3,"['A16', 'C3', 'C9']"
18,n_3sun,7,"A2,A4,A6,A12,A17,A19,B14,B24,C14",28,5,"['A4', 'A12', 'A17', 'A19', 'B24']"
19,n_3sun,8,"A2,A10,A19,A25,B19,C7,C8,C9,C14",30,2,"['A10', 'B19']"
20,n_3sun,9,"A4,A6,A9,A11,A19,A24,B7,B11,B14,C6",34,4,"['A24', 'B7', 'B11', 'C6']"
21,n_3sun,10,"A2,A6,A9,A19,A21,B24,C2,C3,C5,C14",36,2,"['A21', 'C5']"
22,n_3sun,11,"A3,A4,A7,A10,A16,A20,B5,B14,C2,C14",36,0,[]
23,n_3sun,12,"A6,A19,A22,A25,B5,B11,B14,C7,C8,C14",37,1,['A22']
24,q_3sun,1,"A5,A17,C4,C7,C9,C10,C11,C12,C14,C15,C17",11,11,"['A5', 'A17', 'C4', 'C7', 'C9', 'C10', 'C11', 'C12', 'C14', 'C15', 'C17']"
25,q_3sun,2,"A4,C9,C14",12,1,['A4']
26,q_3sun,3,"B1,B3,B9,C9,C10,C18",16,4,"['B1', 'B3', 'B9', 'C18']"
27,q_3sun,4,"A4,A6,A8,A17,B1,B3,B16,C6,C10,C15,C17,C19,C22,C24",23,7,"['A6', 'A8', 'B16', 'C6', 'C19', 'C22', 'C24']"
28,q_3sun,5,"A4,B9,B13",24,1,['B13']
29,q_3sun,6,"A4,A6,B3,B7,B9,B18,C6,C9,C15,C16,C17,C19,C22,C25",28,4,"['B7', 'B18', 'C16', 'C25']"
30,q_3sun,7,"B1,B9,C10,C11,C16",28,0,[]
31,q_3sun,8,"A10,A12,A17,B1,B9,B16,C7,C9,C10,C14,C15,C16,C19,C20,C21,C22,C25",32,4,"['A10', 'A12', 'C20', 'C21']"
32,q_3sun,9,"A5,A6,C22",32,0,[]
33,q_3sun,10,"B9,B14,B18,C9,C10,C11,C14,C15,C22",33,1,['B14']
34,q_3sun,11,"A13,A19,C8,C10,C11,C15,C16,C17,C18,C19,C21,C22,C23,C24,C25",37,4,"['A13', 'A19', 'C8', 'C23']"
35,q_3sun,12,"A6,A7,A13,A16,B1,B3,B16,C3,C7,C9,C10,C11,C14,C15,C20,C24,C25",40,3,"['A7', 'A16', 'C3']"
