,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,v_3sat,1,"A9,B8,B24,C2,C16",5,5,"['A9', 'B8', 'B24', 'C2', 'C16']"
1,v_3sat,2,"B8,C2",5,0,[]
2,v_3sat,3,"A6,A9,B8,C2",6,1,['A6']
3,v_3sat,4,C12,7,1,['C12']
4,v_3sat,5,"A9,B25,C12",8,1,['B25']
5,v_3sat,6,"A16,B6,C16",10,2,"['A16', 'B6']"
6,v_3sat,7,"A1,B8,B25,C9",12,2,"['A1', 'C9']"
7,v_3sat,8,"B8,C9",12,0,[]
8,v_3sat,9,"A1,B8,B11,B13",14,2,"['B11', 'B13']"
9,v_3sat,10,"A16,B6,B8,B11,C2,C9,C12",14,0,[]
10,v_3sat,11,"B8,C12",14,0,[]
11,v_3sat,12,"A1,A2,B6,B8,C2,C9",15,1,['A2']
12,n_3sat,1,"A2,A6,A9,A25,B3,B19,B23",7,7,"['A2', 'A6', 'A9', 'A25', 'B3', 'B19', 'B23']"
13,n_3sat,2,"A2,A6,A7,A10,A11,A19,A25,C14",12,5,"['A7', 'A10', 'A11', 'A19', 'C14']"
14,n_3sat,3,"A2,A9,A10,A14,A25,B4,C8,C14",15,3,"['A14', 'B4', 'C8']"
15,n_3sat,4,"A2,A3,A7,A9,A10,A14,A15,A16,A19,A22,C3,C4",21,6,"['A3', 'A15', 'A16', 'A22', 'C3', 'C4']"
16,n_3sat,5,"A2,A6,A19,A21,A25,B8,B14,B17,B20,C2,C5,C8,C9,C12",30,9,"['A21', 'B8', 'B14', 'B17', 'B20', 'C2', 'C5', 'C9', 'C12']"
17,n_3sat,6,"A2,A6,A9,A11,A19,A21,A22,B3,B5,B15,B17,B19,B24,C4,C8,C9",33,3,"['B5', 'B15', 'B24']"
18,n_3sat,7,"A17,A21,B2,B5,B8,B14,B15,B16,B18,B22,B23,B24,C4,C7,C9,C14",39,6,"['A17', 'B2', 'B16', 'B18', 'B22', 'C7']"
19,n_3sat,8,"A2,A3,A6,A9,A13,A16,A20,A22,A23,A25,B5,B23,C2,C3,C7,C8,C9",42,3,"['A13', 'A20', 'A23']"
20,n_3sat,9,"A4,A6,A8,A24,B7,B14,B20,B21,C1,C2,C4,C5,C6,C7,C8,C12,C13",50,8,"['A4', 'A8', 'A24', 'B7', 'B21', 'C1', 'C6', 'C13']"
21,n_3sat,10,"A2,A5,A6,A7,A9,A11,A17,A18,A19,A21,A22,A23,A25,B5,B8,B11,B14,B17,B20,B21,B23,C7,C8,C9,C15",54,4,"['A5', 'A18', 'B11', 'C15']"
22,n_3sat,11,"A2,A4,A6,A7,A9,A10,A12,A18,A20,B2,B5,B7,B8,B11,B21,B23,B24,C1,C3,C6,C7,C8,C9,C12,C14",55,1,['A12']
23,n_3sat,12,"A1,A2,A6,A9,A11,A13,A14,A19,A22,A23,A25,B6,B8,B9,B19,B23,B24,C2,C4,C7,C8,C9,C12,C13,C14,C15",58,3,"['A1', 'B6', 'B9']"
24,q_3sat,1,"B7,B9,C9,C22,C25",5,5,"['B7', 'B9', 'C9', 'C22', 'C25']"
25,q_3sat,2,"A4,A7,A15,A19,B10,C9,C10",11,6,"['A4', 'A7', 'A15', 'A19', 'B10', 'C10']"
26,q_3sat,3,"A4,A18,B16,B18,C9,C10,C11,C20",16,5,"['A18', 'B16', 'B18', 'C11', 'C20']"
27,q_3sat,4,"A4,A13,A14,A16,C4,C10,C11,C14,C25",21,5,"['A13', 'A14', 'A16', 'C4', 'C14']"
28,q_3sat,5,"A4,A7,A8,A14,A15,A17,A19,B8,B12,B18,C7,C9,C10,C13,C14,C16,C17,C20,C21,C22,C24,C25",31,10,"['A8', 'A17', 'B8', 'B12', 'C7', 'C13', 'C16', 'C17', 'C21', 'C24']"
29,q_3sat,6,"A5,A7,A10,A12,A13,A14,A19,A20,B1,B4,B5,B8,B14,B15,B19,B20,C2,C3,C4,C5,C6,C7,C9,C10,C12,C13,C16,C19,C20,C21,C22,C24",48,17,"['A5', 'A10', 'A12', 'A20', 'B1', 'B4', 'B5', 'B14', 'B15', 'B19', 'B20', 'C2', 'C3', 'C5', 'C6', 'C12', 'C19']"
30,q_3sat,7,"A5,A6,A12,A18,A19,A20,B2,B4,B14,B15,B16,B17,B18,B19,B20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25",56,8,"['A6', 'B2', 'B17', 'C1', 'C8', 'C15', 'C18', 'C23']"
31,q_3sat,8,"A10,A17,B18,C9,C10,C11,C16,C20,C22",56,0,[]
32,q_3sat,9,"A1,A3,A4,A5,A7,A8,A9,A10,A11,A12,A13,A14,A18,A19,B3,C10",61,5,"['A1', 'A3', 'A9', 'A11', 'B3']"
33,q_3sat,10,"A4,A6,A14,A17,B9,B16,B18,C2,C6,C7,C9,C10,C12,C13,C14,C16,C19,C20,C21,C25",61,0,[]
34,q_3sat,11,"A4,A5,A6,A7,A10,A13,A14,A15,A18,A19,B1,B3,B9,B10,C1,C2,C4,C6,C7,C12,C13,C14,C17,C20,C22,C23,C24,C25",61,0,[]
35,q_3sat,12,"A4,A5,A7,A8,A9,A12,A15,A20,B2,B3,B4,B7,B9,B12,B15,B20,C3,C6,C7,C10,C11,C12,C13,C16,C20,C21,C22,C23,C24,C25",61,0,[]
