,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,e_6sat,1,"A8,A10,A16,A19,B9",5,5,"['A8', 'A10', 'A16', 'A19', 'B9']"
1,e_6sat,2,"A6,A8,A10,A14,A15,A16,A18,B3",10,5,"['A6', 'A14', 'A15', 'A18', 'B3']"
2,e_6sat,3,"A8,A9,B4,B9,B14",13,3,"['A9', 'B4', 'B14']"
3,e_6sat,4,"A8,A10,A19,A20",14,1,['A20']
4,e_6sat,5,"A8,A10,A18,B3,B12",15,1,['B12']
5,e_6sat,6,"A8,A9,A10,B3,B9,B12,B14",15,0,[]
6,e_6sat,7,"A8,A15,A16,B14",15,0,[]
7,e_6sat,8,"A19,B3,B7,B9,B12,B14",16,1,['B7']
8,e_6sat,9,"A5,A6,A7,A9,A12,A13,A15,A16,A19,A20,B3,B9",20,4,"['A5', 'A7', 'A12', 'A13']"
9,e_6sat,10,"A10,A16,A20,B9",20,0,[]
10,e_6sat,11,"A2,A6,A7,A8,A10,A14,A15,A16,B9,B12,B14",21,1,['A2']
11,e_6sat,12,"A8,A9,A12,A16,B9,B12,B13,B14",22,1,['B13']
12,m_6sat,1,"9,11,14,18,20,31",6,6,"['9', '11', '14', '18', '20', '31']"
13,m_6sat,2,"6,29,31",8,2,"['6', '29']"
14,m_6sat,3,"6,11,31",8,0,[]
15,m_6sat,4,"30,31",9,1,['30']
16,m_6sat,5,"14,31",9,0,[]
17,m_6sat,6,"6,7,9,11,16,26,29,31",12,3,"['7', '16', '26']"
18,m_6sat,7,"9,14,31",12,0,[]
19,m_6sat,8,"11,21",13,1,['21']
20,m_6sat,9,"6,7,13,20,21,22,23,25,31",17,4,"['13', '22', '23', '25']"
21,m_6sat,10,"4,7,16,20,22,25,31",18,1,['4']
22,m_6sat,11,"6,14,17,19,22,31",20,2,"['17', '19']"
23,m_6sat,12,"2,7,13,14,16,20,21,25,29,30,31",21,1,['2']
24,n_6sat,1,"A2,A4,A17,A22",4,4,"['A2', 'A4', 'A17', 'A22']"
25,n_6sat,2,"A4,A13,B11,B13,B17",8,4,"['A13', 'B11', 'B13', 'B17']"
26,n_6sat,3,"A4,A5,A16,B7,B19,B21",13,5,"['A5', 'A16', 'B7', 'B19', 'B21']"
27,n_6sat,4,"A1,A17,A22,B2,B12,B21,C13,C14",18,5,"['A1', 'B2', 'B12', 'C13', 'C14']"
28,n_6sat,5,"A2,A4,A11,A13,A15,A17,B10,B11,B20,B25,C13",23,5,"['A11', 'A15', 'B10', 'B20', 'B25']"
29,n_6sat,6,"A3,A14,A17,A20,A22,B13,B17,B22,C1,C7,C13",29,6,"['A3', 'A14', 'A20', 'B22', 'C1', 'C7']"
30,n_6sat,7,"A1,A2,A5,A11,A24,B1,B4,B8,B11,B17,B20,C1,C7",33,4,"['A24', 'B1', 'B4', 'B8']"
31,n_6sat,8,"A4,A5,A11,A13,A18,B7,B9,B20,B23,B24,B25,C1,C4,C14",38,5,"['A18', 'B9', 'B23', 'B24', 'C4']"
32,n_6sat,9,"A11,A13,A15,A18,A20,A21,A24,B4,B6,B8,B16,B19,B22,C2,C13,C15",43,5,"['A21', 'B6', 'B16', 'C2', 'C15']"
33,n_6sat,10,"A1,A4,A6,A10,A11,A16,B6,B9,B10,B11,B13,B16,B21,B23,B24,B25,C3,C7",46,3,"['A6', 'A10', 'C3']"
34,n_6sat,11,"A3,A5,A6,A13,B1,B3,B4,B5,B6,B10,B11,B13,B16,B20,B23,B25,C4,C7,C14",48,2,"['B3', 'B5']"
35,n_6sat,12,"A3,A10,A11,A13,A16,A17,A18,A22,B1,B3,B6,B8,B10,B13,B16,B17,B19,B23,B25,C2,C4,C7,C15",48,0,[]
36,q_6sat,1,A15,1,1,['A15']
37,q_6sat,2,"A1,A15,B10,C14",4,3,"['A1', 'B10', 'C14']"
38,q_6sat,3,"A15,C14,C20,C25",6,2,"['C20', 'C25']"
39,q_6sat,4,"C20,C21,C22,C25",8,2,"['C21', 'C22']"
40,q_6sat,5,"A15,C14,C16,C20,C22",9,1,['C16']
41,q_6sat,6,"A10,A15,A18,B8,B10,B11,B14,C1,C7,C10,C11,C14,C19,C20,C22,C23,C24,C25",21,12,"['A10', 'A18', 'B8', 'B11', 'B14', 'C1', 'C7', 'C10', 'C11', 'C19', 'C23', 'C24']"
42,q_6sat,7,"A6,A15,C10,C14,C17,C20,C21,C25",23,2,"['A6', 'C17']"
43,q_6sat,8,"C10,C13,C14,C19,C22,C23,C24",24,1,['C13']
44,q_6sat,9,"A11,A15,B2,B5,B19,C13,C14,C18,C19,C22",29,5,"['A11', 'B2', 'B5', 'B19', 'C18']"
45,q_6sat,10,"A1,A18,B15,C14,C15,C18,C24,C25",31,2,"['B15', 'C15']"
46,q_6sat,11,"A10,A16,A19,B10,B12,B20,C14,C16,C19,C21,C22,C23,C24,C25",35,4,"['A16', 'A19', 'B12', 'B20']"
47,q_6sat,12,"A16,C14,C17,C21,C24",35,0,[]
