,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,e_6sun,1,"A5,A8,A9,A16,A19,A20,B3,B14",8,8,"['A5', 'A8', 'A9', 'A16', 'A19', 'A20', 'B3', 'B14']"
1,e_6sun,2,"A16,A19,B8,B10,B12,B14,B15",12,4,"['B8', 'B10', 'B12', 'B15']"
2,e_6sun,3,"A8,A12,A16",13,1,['A12']
3,e_6sun,4,"A9,B3,B14",13,0,[]
4,e_6sun,5,"A10,A12,A20,B9,B13,B14",16,3,"['A10', 'B9', 'B13']"
5,e_6sun,6,"A8,A15,A16,A19,B3,B12,B14",17,1,['A15']
6,e_6sun,7,"A8,A10,A16,B9,B14",17,0,[]
7,e_6sun,8,"A8,A9,A10,A12,A16,A18,A19,B3,B9,B12",18,1,['A18']
8,e_6sun,9,"A5,A8,A10,A12,B9",18,0,[]
9,e_6sun,10,"A2,A3,A6,A8,A10,A12,A14,A16,B1,B2,B3,B6,B12,B14",25,7,"['A2', 'A3', 'A6', 'A14', 'B1', 'B2', 'B6']"
10,e_6sun,11,"A2,A8,A9,A10,A16,B2,B6",25,0,[]
11,e_6sun,12,"A3,A4,A7,A8,A9,A19,B12,B13",27,2,"['A4', 'A7']"
12,m_6sun,1,"4,20,31",3,3,"['4', '20', '31']"
13,m_6sun,2,"11,14,17,20,31",6,3,"['11', '14', '17']"
14,m_6sun,3,"4,16,17,31",7,1,['16']
15,m_6sun,4,31,7,0,[]
16,m_6sun,5,31,7,0,[]
17,m_6sun,6,"11,16,22,30,31",9,2,"['22', '30']"
18,m_6sun,7,"4,6,31",10,1,['6']
19,m_6sun,8,"4,31",10,0,[]
20,m_6sun,9,"4,21,22,31",11,1,['21']
21,m_6sun,10,"1,2,16,22,31",13,2,"['1', '2']"
22,m_6sun,11,"2,9,11,13,16,17,19,20,25",17,4,"['9', '13', '19', '25']"
23,m_6sun,12,"7,11,17",18,1,['7']
24,n_6sun,1,A4,1,1,['A4']
25,n_6sun,2,"A11,A16,B9,B11",5,4,"['A11', 'A16', 'B9', 'B11']"
26,n_6sun,3,"A1,A5,A7,A9,A11,B11,C13",10,5,"['A1', 'A5', 'A7', 'A9', 'C13']"
27,n_6sun,4,"A3,A4,A11,B13,B22,B23,B25",15,5,"['A3', 'B13', 'B22', 'B23', 'B25']"
28,n_6sun,5,"A9,B1,B4,B9,B21,B23,C6",19,4,"['B1', 'B4', 'B21', 'C6']"
29,n_6sun,6,"A2,A4,A5,A22,B12,B13,B14,B16,B25",24,5,"['A2', 'A22', 'B12', 'B14', 'B16']"
30,n_6sun,7,"A1,A2,A17,B1,B9,B19,C4,C7,C14",29,5,"['A17', 'B19', 'C4', 'C7', 'C14']"
31,n_6sun,8,"A1,A4,A5,A11,B9,B13,B22,B23,C7,C15",30,1,['C15']
32,n_6sun,9,"A3,A11,A16,A22,B10,B13,B19,B23,C4,C14",31,1,['B10']
33,n_6sun,10,"A1,A4,A5,A18,B3,B16,B20,C4,C13,C14",34,3,"['A18', 'B3', 'B20']"
34,n_6sun,11,"A3,A4,A5,A15,B6,B16,B21,B22,C1,C15",37,3,"['A15', 'B6', 'C1']"
35,n_6sun,12,"A5,A11,A13,A17,B9,B11,B14,B16,B21,C12,C15",39,2,"['A13', 'C12']"
36,q_6sun,1,,0,0,[]
37,q_6sun,2,"A15,C14,C16,C22",4,4,"['A15', 'C14', 'C16', 'C22']"
38,q_6sun,3,"C13,C14,C21",6,2,"['C13', 'C21']"
39,q_6sun,4,"C10,C14,C24,C25",9,3,"['C10', 'C24', 'C25']"
40,q_6sun,5,"A13,C5,C14,C15,C21",12,3,"['A13', 'C5', 'C15']"
41,q_6sun,6,"A7,A15,B8,C14,C20",15,3,"['A7', 'B8', 'C20']"
42,q_6sun,7,"B10,C5,C7,C10,C14,C16,C18,C20,C24",18,3,"['B10', 'C7', 'C18']"
43,q_6sun,8,,18,0,[]
44,q_6sun,9,"A18,C14",19,1,['A18']
45,q_6sun,10,"C14,C18,C20,C24",19,0,[]
46,q_6sun,11,"A1,A10,A15,B12,B14,C6,C11,C14,C22,C24",25,6,"['A1', 'A10', 'B12', 'B14', 'C6', 'C11']"
47,q_6sun,12,"A14,A16,C20",27,2,"['A14', 'A16']"
