,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,v_5sun,1,"B4,B8,B14,C18",4,4,"['B4', 'B8', 'B14', 'C18']"
1,v_5sun,2,"B5,B9,C20",7,3,"['B5', 'B9', 'C20']"
2,v_5sun,3,,7,0,[]
3,v_5sun,4,"B11,B25",9,2,"['B11', 'B25']"
4,v_5sun,5,"A16,B2,B4,B11,B14,B23,C15",13,4,"['A16', 'B2', 'B23', 'C15']"
5,v_5sun,6,"A17,B9",14,1,['A17']
6,v_5sun,7,"B8,B25",14,0,[]
7,v_5sun,8,"B5,B8,B14,B23",14,0,[]
8,v_5sun,9,"B8,B14,B25",14,0,[]
9,v_5sun,10,"A1,A7,B4,B5,B14,B24",17,3,"['A1', 'A7', 'B24']"
10,v_5sun,11,"A10,B2,B5,B8,B14",18,1,['A10']
11,v_5sun,12,"B5,B13,B14,B21,B23,B24,C12",21,3,"['B13', 'B21', 'C12']"
12,n_5sun,1,"A18,A23,C11",3,3,"['A18', 'A23', 'C11']"
13,n_5sun,2,"A1,A11,B12,B17",7,4,"['A1', 'A11', 'B12', 'B17']"
14,n_5sun,3,"A11,A13,A16,B12,B22",10,3,"['A13', 'A16', 'B22']"
15,n_5sun,4,"A5,A6,A23,B1,B12,C11",13,3,"['A5', 'A6', 'B1']"
16,n_5sun,5,"A5,A16,A23,A24,B14,B22",15,2,"['A24', 'B14']"
17,n_5sun,6,"A5,A11,A12,A23,B1,C11,C14",17,2,"['A12', 'C14']"
18,n_5sun,7,"A11,A13,B11,C8,C10,C11,C12",21,4,"['B11', 'C8', 'C10', 'C12']"
19,n_5sun,8,"A6,A13,A16,A23,B2,B10,B17,B22",23,2,"['B2', 'B10']"
20,n_5sun,9,"A4,A5,A13,A16,A24,B22,B24,C12",25,2,"['A4', 'B24']"
21,n_5sun,10,"A5,A11,A13,A23,B5,B17,B22,C8,C12",26,1,['B5']
22,n_5sun,11,"A12,A13,A16,A19,A23,B12,B17,C10,C11",27,1,['A19']
23,n_5sun,12,"A5,A10,A13,A15,A16,A23,A24,B2,B17,C13",30,3,"['A10', 'A15', 'C13']"
24,q_5sun,1,"A18,B6",2,2,"['A18', 'B6']"
25,q_5sun,2,"A18,A19",3,1,['A19']
26,q_5sun,3,,3,0,[]
27,q_5sun,4,"A17,C24,C25",6,3,"['A17', 'C24', 'C25']"
28,q_5sun,5,"A11,A17,A18,B6,B12,C12",9,3,"['A11', 'B12', 'C12']"
29,q_5sun,6,"A10,A18,A19,B5",11,2,"['A10', 'B5']"
30,q_5sun,7,"A8,A9,A11,A17,A18,C20,C24",14,3,"['A8', 'A9', 'C20']"
31,q_5sun,8,"A10,A15,A17,C21",16,2,"['A15', 'C21']"
32,q_5sun,9,"A11,A13,A19,B18,C12",18,2,"['A13', 'B18']"
33,q_5sun,10,"A12,A19",19,1,['A12']
34,q_5sun,11,"A8,A10,B10,B18,C3,C10,C19,C22",24,5,"['B10', 'C3', 'C10', 'C19', 'C22']"
35,q_5sun,12,"A9,C21,C23",25,1,['C23']
