,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,eic_7sun,1,,0,0,[]
1,eic_7sun,2,,0,0,[]
2,eic_7sun,3,,0,0,[]
3,eic_7sun,4,"18,20,23,28",4,4,"['18', '20', '23', '28']"
4,eic_7sun,5,"23,28",4,0,[]
5,eic_7sun,6,"3,6,7,32,35",9,5,"['3', '6', '7', '32', '35']"
6,eic_7sun,7,"26,33",11,2,"['26', '33']"
7,eic_7sun,8,25,12,1,['25']
8,eic_7sun,9,,12,0,[]
9,eic_7sun,10,33,12,0,[]
10,eic_7sun,11,,12,0,[]
11,eic_7sun,12,,12,0,[]
12,mic_7sun,1,"16,19,22",3,3,"['16', '19', '22']"
13,mic_7sun,2,,3,0,[]
14,mic_7sun,3,,3,0,[]
15,mic_7sun,4,16,3,0,[]
16,mic_7sun,5,"9,15,17,22",6,3,"['9', '15', '17']"
17,mic_7sun,6,"22,31,35",8,2,"['31', '35']"
18,mic_7sun,7,"12,15",9,1,['12']
19,mic_7sun,8,16,9,0,[]
20,mic_7sun,9,"26,31",10,1,['26']
21,mic_7sun,10,"15,21,22,27,31,36",13,3,"['21', '27', '36']"
22,mic_7sun,11,"6,22,25,26",15,2,"['6', '25']"
23,mic_7sun,12,,15,0,[]
24,ehw_7sun,1,"12,13,39",3,3,"['12', '13', '39']"
25,ehw_7sun,2,"12,21,31,43",6,3,"['21', '31', '43']"
26,ehw_7sun,3,"22,31,37,39,43",8,2,"['22', '37']"
27,ehw_7sun,4,39,8,0,[]
28,ehw_7sun,5,"12,13,21,31,33",9,1,['33']
29,ehw_7sun,6,"12,13,21,31,39",9,0,[]
30,ehw_7sun,7,"12,29,39,43,50",11,2,"['29', '50']"
31,ehw_7sun,8,"12,16,34,43",13,2,"['16', '34']"
32,ehw_7sun,9,"14,33,39,44,48",16,3,"['14', '44', '48']"
33,ehw_7sun,10,"9,10,12,15,24,29,30,33,35,39,45",23,7,"['9', '10', '15', '24', '30', '35', '45']"
34,ehw_7sun,11,"12,13,31,37,43",23,0,[]
35,ehw_7sun,12,"12,19,22,34,37,45",24,1,['19']
36,mhw_7sun,1,A10,1,1,['A10']
37,mhw_7sun,2,A2,2,1,['A2']
38,mhw_7sun,3,,2,0,[]
39,mhw_7sun,4,"A10,A20,A22,A29",5,3,"['A20', 'A22', 'A29']"
40,mhw_7sun,5,,5,0,[]
41,mhw_7sun,6,,5,0,[]
42,mhw_7sun,7,A38,6,1,['A38']
43,mhw_7sun,8,"A10,A42,A44,A50",9,3,"['A42', 'A44', 'A50']"
44,mhw_7sun,9,"A8,A9,A10,A13,A38",12,3,"['A8', 'A9', 'A13']"
45,mhw_7sun,10,A18,13,1,['A18']
46,mhw_7sun,11,"A18,A19,A27,A37,A38,A39,A42,A44",17,4,"['A19', 'A27', 'A37', 'A39']"
47,mhw_7sun,12,"A10,A20,A27,A31,A32,A39,A42",19,2,"['A31', 'A32']"
